2026-02-24 01:23:55,648 | INFO | Order=(1, 0, 0) progress 1250/4014 | fails=0 | elapsed=57.1s
2026-02-24 01:23:56,769 | INFO | Order=(1, 0, 0) progress 1275/4014 | fails=0 | elapsed=58.2s
2026-02-24 01:23:57,913 | INFO | Order=(1, 0, 0) progress 1300/4014 | fails=0 | elapsed=59.4s
2026-02-24 01:23:59,035 | INFO | Order=(1, 0, 0) progress 1325/4014 | fails=0 | elapsed=60.5s
2026-02-24 01:24:00,162 | INFO | Order=(1, 0, 0) progress 1350/4014 | fails=0 | elapsed=61.6s
2026-02-24 01:24:01,347 | INFO | Order=(1, 0, 0) progress 1375/4014 | fails=0 | elapsed=62.8s
2026-02-24 01:24:02,522 | INFO | Order=(1, 0, 0) progress 1400/4014 | fails=0 | elapsed=64.0s
2026-02-24 01:24:03,683 | INFO | Order=(1, 0, 0) progress 1425/4014 | fails=0 | elapsed=65.1s
2026-02-24 01:24:04,840 | INFO | Order=(1, 0, 0) progress 1450/4014 | fails=0 | elapsed=66.3s
2026-02-24 01:24:05,996 | INFO | Order=(1, 0, 0) progress 1475/4014 | fails=0 | elapsed=67.4s
2026-02-24 01:24:07,169 | INFO | Order=(1, 0, 0) progress 1500/4014 | fails=0 | elapsed=68.6s
2026-02-24 01:24:08,264 | INFO | Order=(1, 0, 0) progress 1525/4014 | fails=0 | elapsed=69.7s
2026-02-24 01:24:09,378 | INFO | Order=(1, 0, 0) progress 1550/4014 | fails=0 | elapsed=70.8s
2026-02-24 01:24:10,492 | INFO | Order=(1, 0, 0) progress 1575/4014 | fails=0 | elapsed=71.9s
2026-02-24 01:24:11,670 | INFO | Order=(1, 0, 0) progress 1600/4014 | fails=0 | elapsed=73.1s
2026-02-24 01:24:12,811 | INFO | Order=(1, 0, 0) progress 1625/4014 | fails=0 | elapsed=74.3s
2026-02-24 01:24:13,899 | INFO | Order=(1, 0, 0) progress 1650/4014 | fails=0 | elapsed=75.4s
2026-02-24 01:24:15,018 | INFO | Order=(1, 0, 0) progress 1675/4014 | fails=0 | elapsed=76.5s
2026-02-24 01:24:16,184 | INFO | Order=(1, 0, 0) progress 1700/4014 | fails=0 | elapsed=77.6s
